13:54:47.0	ON
13:59:28.2	CONN GATE 1
14:05:00.2	CONN GATE 3
14:06:57.3	CONN EYE 2
14:09:22.4	CONN EYE 4
14:11:11.4	EVENT PARIND
14:14:14.5	TOGGLE 1
14:18:40.5	TOGGLE 2
14:21:05.5	TOGGLE 3
14:24:56.6	TOGGLE 4
14:27:03.6	NUM 111
14:28:57.6	NUM 222
14:32:44.7	NUM 333
14:36:33.7	NUM 444
14:40:13.7	NUM 555
14:44:47.8	TRIG 1
14:48:54.9	TRIG 2
14:53:51.0	TRIG 3
14:55:10.0	TRIG 4
14:59:55.1	TRIG 5
15:04:48.2	TRIG 6
15:09:42.3	TRIG 7
15:11:08.3	TRIG 8
15:14:38.3	EXPORT 1
15:18:16.3	ENDRUN
15:20:43.4	OFF
15:24:47.4	EXIT
